county_fips,state_name,county_name,mobility_score,ai_exposure
06079,California,San Luis Obispo,0.45150304,-0.1660248
06081,California,San Mateo,0.49095264,1.646901
06083,California,Santa Barbara,0.45805606,0.2667122
06085,California,Santa Clara,0.48896459,2.246738
06087,California,Santa Cruz,0.45939654,0.6707994
06089,California,Shasta,0.4206903,0.6254826
06091,California,Sierra,0.51243979,1.744881
06093,California,Siskiyou,0.42482185,-0.5224125
06095,California,Solano,0.43267208,0.5570935
06097,California,Sonoma,0.46481091,0.3734579
06099,California,Stanislaus,0.43626991,-0.034023
06101,California,Sutter,0.44731218,-0.7319637
06103,California,Tehama,0.44751751,-0.5969545
06105,California,Trinity,0.44214192,0.2205565
06107,California,Tulare,0.429986,-1.032978
06109,California,Tuolumne,0.44601217,-0.7763041
06111,California,Ventura,0.45422861,0.8192025
06113,California,Yolo,0.45055154,-0.151668
06115,California,Yuba,0.42286658,0.9920512
08001,Colorado,Adams,0.4669359,-0.6084914
08003,Colorado,Alamosa,0.41748375,0.1445273
08005,Colorado,Arapahoe,0.44904029,1.61296
08007,Colorado,Archuleta,0.49156481,-0.6524026
08009,Colorado,Baca,0.49934214,-1.46665
08011,Colorado,Bent,0.44836923,1.322433
08013,Colorado,Boulder,0.4751977,1.936633
08014,Colorado,Broomfield,0.47547227,1.980261
08015,Colorado,Chaffee,0.46322921,-0.3969555
08017,Colorado,Cheyenne,,-0.6419132
08019,Colorado,Clear Creek,0.4568741,-2.186088
08021,Colorado,Conejos,0.51335961,2.585649
08023,Colorado,Costilla,0.44656569,-1.163389
08025,Colorado,Crowley,0.44406229,-3.617044
08027,Colorado,Custer,0.48235711,-2.088932
08029,Colorado,Delta,0.50649798,-0.2072074
08031,Colorado,Denver,0.43742177,1.128774
08035,Colorado,Douglas,0.49716827,1.312082
08037,Colorado,Eagle,0.53731024,-1.386134
08039,Colorado,Elbert,0.49623099,0.2529217
08041,Colorado,El Paso,0.44590002,1.155413
08043,Colorado,Fremont,0.44943702,-0.6508749
08045,Colorado,Garfield,0.49123555,-0.0419719
08047,Colorado,Gilpin,0.48263952,-2.639809
08049,Colorado,Grand,0.45026353,-1.977499
08051,Colorado,Gunnison,0.44680348,-1.548773
08055,Colorado,Huerfano,0.43761358,0.2117177
08057,Colorado,Jackson,,-2.674081
08059,Colorado,Jefferson,0.46932209,0.6856716
08061,Colorado,Kiowa,0.58529735,-0.9389803
08063,Colorado,Kit Carson,0.52543235,-0.8104207
08065,Colorado,Lake,0.49727029,-2.598811
08067,Colorado,La Plata,0.47659221,-0.0696982
08069,Colorado,Larimer,0.48036301,0.4840733
08071,Colorado,Las Animas,0.44981161,0.7870209
08073,Colorado,Lincoln,0.5354706,-0.2292205
08075,Colorado,Logan,0.49863258,0.2543369
08077,Colorado,Mesa,0.46283528,-0.2439338
08081,Colorado,Moffat,0.46818554,-0.9335648
08083,Colorado,Montezuma,0.46607247,0.2100108
08085,Colorado,Montrose,0.46668774,-0.2929772
08087,Colorado,Morgan,0.52993983,-1.283477
08089,Colorado,Otero,0.45099911,1.194712
08091,Colorado,Ouray,0.54611886,-1.531467
08093,Colorado,Park,0.51079589,-1.155857
08095,Colorado,Phillips,0.54213476,-2.190166
08097,Colorado,Pitkin,0.47573563,-1.346699
08099,Colorado,Prowers,0.46313944,-1.233189
08101,Colorado,Pueblo,0.41361994,0.3095024
08103,Colorado,Rio Blanco,0.51862311,-2.575788
08105,Colorado,Rio Grande,0.45848686,0.9820064
08107,Colorado,Routt,0.48739067,-1.202837
08109,Colorado,Saguache,0.45523685,3.246148
08113,Colorado,San Miguel,0.54398429,-1.725815
08115,Colorado,Sedgwick,0.54171491,-2.978505
08117,Colorado,Summit,0.52286273,-1.458405
08119,Colorado,Teller,0.47972119,-0.7945175
08121,Colorado,Washington,0.54013991,-1.234958
08123,Colorado,Weld,0.48573038,-1.11501
08125,Colorado,Yuma,0.53185403,-1.112529
09001,Connecticut,Fairfield,0.43627867,1.241433
09003,Connecticut,Hartford,0.42173404,1.530014
09005,Connecticut,Litchfield,0.45448443,0.5799364
09007,Connecticut,Middlesex,0.45934263,0.4800501
09009,Connecticut,New Haven,0.41987854,1.227185
09011,Connecticut,New London,0.43252856,0.6993967
09013,Connecticut,Tolland,0.44336495,0.7502294
09015,Connecticut,Windham,0.44280791,0.7643433
10001,Delaware,Kent,0.39590591,1.739022
10003,Delaware,New Castle,0.39801621,1.573938
10005,Delaware,Sussex,0.40251964,-0.9789833
11001,District of Columbia,District of Columbia,0.37271443,2.339288
12001,Florida,Alachua,0.3825843,0.3857994
12003,Florida,Baker,0.38450074,-1.49007
12005,Florida,Bay,0.40428439,-0.2840629
12007,Florida,Bradford,0.39202625,-1.681927
12009,Florida,Brevard,0.40006965,0.6840991
12011,Florida,Broward,0.40797445,0.8254612
12013,Florida,Calhoun,0.4117215,-2.189466
12015,Florida,Charlotte,0.42653948,-0.2878165
12017,Florida,Citrus,0.40370256,-0.633015
12019,Florida,Clay,0.41150883,-0.1282456
12021,Florida,Collier,0.44786462,-0.7157998
12023,Florida,Columbia,0.39718822,-0.4536853
12027,Florida,DeSoto,0.42829809,-2.301841
12029,Florida,Dixie,0.37472031,-2.253064
12031,Florida,Duval,0.38312554,0.6444117
12033,Florida,Escambia,0.39402404,0.0912741
12035,Florida,Flagler,0.40403551,-1.233663
12037,Florida,Franklin,0.39014941,-1.925736
12039,Florida,Gadsden,0.34837133,-1.136837
12041,Florida,Gilchrist,0.42732912,-2.738057
12043,Florida,Glades,0.39445591,-1.743545
12045,Florida,Gulf,0.42750439,-0.5378686
12047,Florida,Hamilton,0.3974492,-1.241871
12049,Florida,Hardee,0.43143886,-0.9958715
12051,Florida,Hendry,0.41383076,-0.956279
12053,Florida,Hernando,0.40343136,-0.270647
12055,Florida,Highlands,0.40914875,-0.7021106
12057,Florida,Hillsborough,0.39710441,1.07121
12059,Florida,Holmes,0.42194563,-1.561217
12061,Florida,Indian River,0.41385373,-0.2971684
12063,Florida,Jackson,0.40133467,-0.6481189
12065,Florida,Jefferson,0.37730125,-0.6057042
12067,Florida,Lafayette,0.43627921,-2.528438
12069,Florida,Lake,0.40328604,-0.4388461
12071,Florida,Lee,0.41433245,-0.2848407
12073,Florida,Leon,0.376661,0.5593106
12075,Florida,Levy,0.3943007,-1.136195
12077,Florida,Liberty,0.41055349,-1.301955
12079,Florida,Madison,0.37739649,0.2003498
12081,Florida,Manatee,0.40616789,-0.4648069
12083,Florida,Marion,0.39668065,-0.2615848
12085,Florida,Martin,0.43082428,-0.2911622
12086,Florida,Miami-Dade,0.42158851,0.7300541
12087,Florida,Monroe,0.42087033,-1.297273
12089,Florida,Nassau,0.42704082,-0.79489
12091,Florida,Okaloosa,0.42195424,0.2058487
12093,Florida,Okeechobee,0.41577965,-0.4174258
12095,Florida,Orange,0.4001185,0.2919726
12097,Florida,Osceola,0.41500571,-0.0682917
12099,Florida,Palm Beach,0.41018081,0.4981721
12101,Florida,Pasco,0.40029603,0.0171282
12103,Florida,Pinellas,0.39795375,0.8875405
12105,Florida,Polk,0.4039934,-0.0296764
12107,Florida,Putnam,0.37890112,-0.789327
12109,Florida,St. Johns,0.41660711,-0.4310495
12111,Florida,St. Lucie,0.40451828,-0.0652606
12113,Florida,Santa Rosa,0.43129227,-0.7120916
12115,Florida,Sarasota,0.42087066,0.2634317
12117,Florida,Seminole,0.40849212,0.6810945
12119,Florida,Sumter,0.40239656,-0.8978339
12121,Florida,Suwannee,0.40367237,-1.526751
12123,Florida,Taylor,0.39378625,-0.8940625
12125,Florida,Union,0.3892709,-1.242448
12127,Florida,Volusia,0.40182844,0.0486838
12129,Florida,Wakulla,0.40977526,-1.881949
12131,Florida,Walton,0.4166376,-0.9432988
12133,Florida,Washington,0.41253278,-0.0748842
13001,Georgia,Appling,0.44731185,-0.1706087
13003,Georgia,Atkinson,0.41874424,3.121396
13005,Georgia,Bacon,0.4059847,-0.45094
13007,Georgia,Baker,,-6.108081
13009,Georgia,Baldwin,0.36127511,0.8925228
13011,Georgia,Banks,0.47285476,1.861807
13013,Georgia,Barrow,0.40646654,0.279449
13015,Georgia,Bartow,0.42682636,-0.7768966
13017,Georgia,Ben Hill,0.36975536,0.1536538
13019,Georgia,Berrien,0.42011359,-1.955083
13021,Georgia,Bibb,0.36543164,0.4704011
13023,Georgia,Bleckley,0.39980558,-2.706063
13025,Georgia,Brantley,0.44191423,2.149472
13027,Georgia,Brooks,0.36023909,1.684628
13029,Georgia,Bryan,0.42961589,0.3825682
13031,Georgia,Bulloch,0.3891958,0.0733273
13033,Georgia,Burke,0.39316574,1.278479
13035,Georgia,Butts,0.41315225,0.0014552
13037,Georgia,Calhoun,0.42303729,1.912916
13039,Georgia,Camden,0.41317487,0.6813273
13043,Georgia,Candler,0.41510779,0.2010463
13045,Georgia,Carroll,0.41761062,-0.2863544
13047,Georgia,Catoosa,0.43770775,1.749031
13049,Georgia,Charlton,0.43560144,0.4635714
13051,Georgia,Chatham,0.38361868,-0.3132868
13053,Georgia,Chattahoochee,0.41400146,2.600244
13055,Georgia,Chattooga,0.42882201,0.8958367
13057,Georgia,Cherokee,0.44464165,0.0548792
13059,Georgia,Clarke,0.3706927,0.5652549
13061,Georgia,Clay,0.37106419,1.72543
13063,Georgia,Clayton,0.35754222,-0.0422676
13065,Georgia,Clinch,0.39598295,-1.546688
13067,Georgia,Cobb,0.39929053,0.7757916
13069,Georgia,Coffee,0.40470567,0.2239039
13071,Georgia,Colquitt,0.38788566,-1.549184
13073,Georgia,Columbia,0.42753485,0.2747048
13075,Georgia,Cook,0.40744829,-0.0935098
13077,Georgia,Coweta,0.42141703,0.1934889
13079,Georgia,Crawford,0.42977479,-2.822924
13081,Georgia,Crisp,0.394806,1.822372
13083,Georgia,Dade,0.44066563,1.245827
13085,Georgia,Dawson,0.45386493,0.4800913
13087,Georgia,Decatur,0.38341326,0.6205941
13089,Georgia,DeKalb,0.36144465,1.197036
13091,Georgia,Dodge,0.40019181,-0.3850453
13093,Georgia,Dooly,0.40085575,0.0875089
13095,Georgia,Dougherty,0.34353018,0.0736771
13097,Georgia,Douglas,0.39054564,-0.2145996
13099,Georgia,Early,0.38684118,0.3187307
13101,Georgia,Echols,0.38733149,-3.617044
13103,Georgia,Effingham,0.43984523,-1.191764
13105,Georgia,Elbert,0.4071933,-0.6882291
13107,Georgia,Emanuel,0.40487996,-0.4603403
13109,Georgia,Evans,0.41232696,1.342968
13111,Georgia,Fannin,0.43157524,1.139252
13113,Georgia,Fayette,0.42541978,0.5310706
13115,Georgia,Floyd,0.41695476,0.2612433
13117,Georgia,Forsyth,0.45927128,0.7260135
13119,Georgia,Franklin,0.42855829,0.7384416
13121,Georgia,Fulton,0.36066955,1.626205
13123,Georgia,Gilmer,0.44029647,1.408583
13125,Georgia,Glascock,0.53466547,-3.617044
13127,Georgia,Glynn,0.38760343,-0.6003892
13129,Georgia,Gordon,0.43995577,0.2301379
13131,Georgia,Grady,0.39968991,1.207475
13133,Georgia,Greene,0.42353404,-0.0325335
13135,Georgia,Gwinnett,0.41872194,1.069969
13137,Georgia,Habersham,0.44631264,0.2845266
13139,Georgia,Hall,0.44560149,-0.2917862
13141,Georgia,Hancock,0.36896566,-1.732317
13143,Georgia,Haralson,0.45792556,0.6278592
13145,Georgia,Harris,0.43769482,1.100874
13147,Georgia,Hart,0.42354208,1.691569
13149,Georgia,Heard,0.44618058,2.789932
13151,Georgia,Henry,0.40614823,-0.2424881
13153,Georgia,Houston,0.40285471,0.8388379
13155,Georgia,Irwin,0.41809806,-0.0904559
13157,Georgia,Jackson,0.4477371,-0.4409128
13159,Georgia,Jasper,0.41713989,-0.3389623
13161,Georgia,Jeff Davis,0.43341601,-0.768988
13163,Georgia,Jefferson,0.36271483,-1.635901
13165,Georgia,Jenkins,0.39972287,-2.3822
13167,Georgia,Johnson,0.41043919,1.359875
13169,Georgia,Jones,0.40376318,-1.302164
13171,Georgia,Lamar,0.42413247,2.270368
13173,Georgia,Lanier,0.40760559,-3.270761
13175,Georgia,Laurens,0.39498866,0.3943397
13177,Georgia,Lee,0.41828063,0.099726
13179,Georgia,Liberty,0.40390494,-0.6045507
13181,Georgia,Lincoln,0.41722098,-1.844252
13183,Georgia,Long,0.43286616,-2.48335
13185,Georgia,Lowndes,0.37759003,-0.2880555
13187,Georgia,Lumpkin,0.43816355,-1.447126
13189,Georgia,McDuffie,0.39704201,1.643053
13191,Georgia,McIntosh,0.41157034,-2.346641
13193,Georgia,Macon,0.38931605,0.8740451
13195,Georgia,Madison,0.40189564,1.049557
13197,Georgia,Marion,0.42804867,2.796239
13199,Georgia,Meriwether,0.40365329,0.5754818
13201,Georgia,Miller,0.39571223,-1.423652
13205,Georgia,Mitchell,0.36834136,1.724973
